OS,Runtime,Arch,Method,Iteration,ElapsedMs,PayloadBytes,ObjectCount
macOS,net8.0,arm64,Json_Deserialize,21,0.588787,1061276,400
macOS,net8.0,arm64,Json_Deserialize,22,0.613542,1061276,400
macOS,net8.0,arm64,Json_Deserialize,23,0.589747,1061276,400
macOS,net8.0,arm64,Json_Deserialize,24,0.589233,1061276,400
macOS,net8.0,arm64,Json_Deserialize,25,0.592732,1061276,400
macOS,net8.0,arm64,Json_Deserialize,26,0.589165,1061276,400
macOS,net8.0,arm64,Json_Deserialize,27,0.594774,1061276,400
macOS,net8.0,arm64,Json_Deserialize,28,0.591426,1061276,400
macOS,net8.0,arm64,Json_Deserialize,29,0.593958,1061276,400
macOS,net8.0,arm64,Json_Deserialize,30,0.587594,1061276,400
macOS,net8.0,arm64,Json_Deserialize,31,0.589415,1061276,400
macOS,net8.0,arm64,Json_Deserialize,32,0.585754,1061276,400
macOS,net8.0,arm64,Json_Deserialize,33,0.589460,1061276,400
macOS,net8.0,arm64,Json_Deserialize,34,0.590394,1061276,400
macOS,net8.0,arm64,Json_Deserialize,35,0.586905,1061276,400
macOS,net8.0,arm64,Json_Deserialize,36,0.589223,1061276,400
macOS,net8.0,arm64,Json_Deserialize,37,0.587490,1061276,400
macOS,net8.0,arm64,Json_Deserialize,38,0.587877,1061276,400
macOS,net8.0,arm64,Json_Deserialize,39,0.587100,1061276,400
macOS,net8.0,arm64,Json_Deserialize,40,0.587307,1061276,400
macOS,net8.0,arm64,Json_Deserialize,41,0.588233,1061276,400
macOS,net8.0,arm64,Json_Deserialize,42,0.589348,1061276,400
macOS,net8.0,arm64,Json_Deserialize,43,0.591824,1061276,400
macOS,net8.0,arm64,Json_Deserialize,44,0.592262,1061276,400
macOS,net8.0,arm64,Json_Deserialize,45,0.590277,1061276,400
macOS,net8.0,arm64,Json_Deserialize,46,0.591636,1061276,400
macOS,net8.0,arm64,Json_Deserialize,47,0.587640,1061276,400
macOS,net8.0,arm64,Json_Deserialize,48,0.591664,1061276,400
macOS,net8.0,arm64,Json_Deserialize,49,0.587027,1061276,400
macOS,net8.0,arm64,Json_Deserialize,50,0.595672,1061276,400
macOS,net8.0,arm64,Json_Deserialize,51,0.590213,1061276,400
macOS,net8.0,arm64,Json_Deserialize,52,0.596382,1061276,400
macOS,net8.0,arm64,Json_Deserialize,53,0.589743,1061276,400
macOS,net8.0,arm64,Json_Deserialize,54,0.590638,1061276,400
macOS,net8.0,arm64,Json_Deserialize,55,0.590892,1061276,400
macOS,net8.0,arm64,Json_Deserialize,56,0.588253,1061276,400
macOS,net8.0,arm64,Json_Deserialize,57,0.591504,1061276,400
macOS,net8.0,arm64,Json_Deserialize,58,0.592479,1061276,400
macOS,net8.0,arm64,Json_Deserialize,59,0.590748,1061276,400
macOS,net8.0,arm64,Json_Deserialize,60,0.589289,1061276,400
macOS,net8.0,arm64,Xml_Serialize,1,1.162801,1183515,400
macOS,net8.0,arm64,Xml_Serialize,2,1.125485,1183515,400
macOS,net8.0,arm64,Xml_Serialize,3,1.122477,1183515,400
macOS,net8.0,arm64,Xml_Serialize,4,1.122427,1183515,400
macOS,net8.0,arm64,Xml_Serialize,5,1.117986,1183515,400
macOS,net8.0,arm64,Xml_Serialize,6,1.120330,1183515,400
macOS,net8.0,arm64,Xml_Serialize,7,1.129824,1183515,400
macOS,net8.0,arm64,Xml_Serialize,8,1.121418,1183515,400
macOS,net8.0,arm64,Xml_Serialize,9,1.119443,1183515,400
macOS,net8.0,arm64,Xml_Serialize,10,1.129458,1183515,400
macOS,net8.0,arm64,Xml_Serialize,11,1.120842,1183515,400
macOS,net8.0,arm64,Xml_Serialize,12,1.117679,1183515,400
macOS,net8.0,arm64,Xml_Serialize,13,1.121969,1183515,400
macOS,net8.0,arm64,Xml_Serialize,14,1.118723,1183515,400
macOS,net8.0,arm64,Xml_Serialize,15,1.123372,1183515,400
macOS,net8.0,arm64,Xml_Serialize,16,1.118123,1183515,400
macOS,net8.0,arm64,Xml_Serialize,17,1.126725,1183515,400
